area_size;sunlight_need;environment_type;climate_type;fertilizer_frequency;pesticide_frequency;has_pet;has_child;suggested_plant;user_feedback;id;watering_frequency
Large;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Acacia;1;1;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Acalypha;1;2;Bi-weekly
Medium;1-2 hours daily;Indoor;Winter;Monthly;Never needed;Yes;Yes;Acanthus;1;3;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Achillea (Yarrow);1;4;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Acorn Squash;0;5;Bi-weekly
Mini;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;African Violet;0;6;Daily
Mini;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;African Violet;1;7;Daily
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Ageratum;1;8;Bi-weekly
Medium;Can live in shade;Indoor;All seasons;1-2 times a year;Never needed;Yes;Yes;Aglaonema (Chinese Evergreen);1;9;Bi-weekly
Mini;Bright indirect light;Indoor;All seasons;Never needed;Never needed;No;No;Air Plant (Tillandsia);1;10;Bi-weekly
Large;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Alocasia (Elephant Ear);1;11;Every 2-3 days
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;Aloe Vera;1;12;Daily
Mini;1-2 hours daily;Indoor;Winter;Monthly;Monthly;Yes;Yes;Alstroemeria;1;13;Daily
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Aluminum Plant;1;14;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Alyssum;1;15;Weekly
Small;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Amaltas (Golden Shower);1;16;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Amaranth;1;17;Monthly
Medium;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;No;Amaryllis;1;18;Daily
Medium;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;No;Amaryllis;0;19;Daily
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Anemone;1;20;Every 2-3 days
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Angelonia;0;21;Every 2-3 days
Large;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Anigozanthos (Kangaroo Paw);0;22;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Anthurium;1;23;Every 2-3 days
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Apple Tree;0;24;Weekly
Small;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Aquilegia (Columbine);1;25;Bi-weekly
Medium;Bright indirect light;Indoor;Winter;Never needed;Never needed;No;No;Areca Palm;1;26;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Armeria (Thrift);1;27;Bi-weekly
Small;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Arum Lily;1;28;Monthly
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;Yes;No;Asparagus Fern;1;29;Daily
Medium;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Aster;1;30;Weekly
Medium;1-2 hours daily;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Astilbe;1;31;Every 2-3 days
Large;1-2 hours daily;Indoor;Spring;Monthly;Monthly;Yes;Yes;Azalea;1;32;Every 2-3 days
Medium;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Aztec Lily;0;33;Bi-weekly
Small;Bright indirect light;Indoor;Spring;Monthly;Never needed;No;No;Baby Tears;0;34;Monthly
Small;Bright indirect light;Indoor;Spring;Monthly;Never needed;No;No;Baby Tears;1;35;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Bachelorâ??S Button;1;36;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Balloon Flower;1;37;Weekly
Small;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Balsam;0;38;Bi-weekly
Large;Bright indirect light;Semi-outdoor;All seasons;Monthly;Never needed;No;No;Bamboo;1;39;Every 2-3 days
Large;Bright indirect light;Indoor;Summer;Monthly;Monthly;Yes;Yes;Bamboo Orchid;0;40;Every 2-3 days
Small;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Bamboo Palm;1;41;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Banana Plant;1;42;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Banyan Tree (Bargad);1;43;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Barberry;1;44;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Never needed;Never needed;No;Yes;Barrel Cactus;0;45;Daily
Mini;6+ hours;Semi-outdoor;Summer;1-2 times a year;1-2 times a year;No;No;Basil;1;46;Every 2-3 days
Mini;1-2 hours daily;Indoor;Spring;Monthly;Monthly;Yes;Yes;Bay Laurel;1;47;Weekly
Large;1-2 hours daily;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Bearded Iris;1;48;Every 2-3 days
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Bee Balm;1;49;Every 2-3 days
Large;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Beetroot;1;50;Bi-weekly
Small;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Begonia (Outdoor);1;51;Weekly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Bellflower;1;52;Every 2-3 days
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Ber Tree (Indian Jujube);1;53;Daily
Mini;1-2 hours daily;Indoor;Winter;Monthly;Monthly;Yes;Yes;Bergamot;1;54;Monthly
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Bigleaf Hydrangea;0;55;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Bird's Nest Fern;1;56;Monthly
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Black Currant;1;57;Daily
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Black-Eyed Susan;1;58;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Blackcurrant;0;59;Every 2-3 days
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Blanket Flower;1;60;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Blazing Star;1;61;Bi-weekly
Mini;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Bleeding Heart;1;62;Every 2-3 days
Large;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Bloodroot;1;63;Every 2-3 days
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Bluebell;1;64;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Bok Choy;1;65;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Borage;1;66;Monthly
Medium;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;No;No;Boston Fern;1;67;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Bougainvillea;1;68;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Brachychiton (Bottle Tree);1;69;Monthly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Brassica;1;70;Bi-weekly
Medium;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Bromeliad;1;71;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Buckwheat;1;72;Monthly
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Butternut Squash;0;73;Bi-weekly
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Cabbage;1;74;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Cabbage Palm;1;75;Daily
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Cactus;0;76;Bi-weekly
Small;6+ hours;Indoor;All seasons;1-2 times a year;Never needed;No;Yes;Cactus (Various);1;77;Weekly
Small;6+ hours;Indoor;All seasons;1-2 times a year;Never needed;No;Yes;Cactus (Various);0;78;Weekly
Medium;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Caladium;1;79;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;No;No;Calathea;1;80;Every 2-3 days
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Calendula;1;81;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;California Poppy;1;82;Bi-weekly
Medium;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Calla Lily;1;83;Every 2-3 days
Mini;6+ hours;Indoor;Winter;Never needed;1-2 times a year;No;No;Camelina;0;84;Monthly
Small;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Camellia;1;85;Weekly
Large;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Campanula;1;86;Every 2-3 days
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Cananga (Ylang-Ylang);0;87;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Candytuft;0;88;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Canna Lily;1;89;Weekly
Large;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Carnation;0;90;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Carob Tree;1;91;Bi-weekly
